1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10	|	11	|	12	|	13	|	14	|	15	|	16
musty	|	english_lang 1	|	lang 1	|	lang_english 1	|		|		|		|		|		|		|		|		|	"etheme1,,,,,,etheme2,etheme3,"	|	"ltheme1,,,,ltheme2,,,,ltheme3,"	|	reserved1 1	|	reserved2 1
output	|	english_lang 2	|	lang 2	|	lang_english 2	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,,,,,,,etheme4"	|	"ltheme2,ltheme3,,,,ltheme4"	|	reserved1 2	|	reserved2 2
doh	|	    english_lang 3	|	lang 3	|	lang_english 3	|		|		|		|		|		|		|		|		|	etheme3	|	",,,ltheme3"	|	reserved1 3	|	reserved2 3
shift	|	english_lang 4	|	     lang 4	|	lang_english 4	|		|		|		|		|		|		|		|		|		|		|	reserved1 4	|	reserved2 4
dione	|	english_lang 5	|	lang 5	|	    lang_english 5	|		|		|		|		|		|		|		|		|	",,,,,,ethemex"	|		|	reserved1 5	|	reserved2 5
hungry	|	english_lang 6	|	lang 6	|	lang_english 6	|		|		|		|		|		|		|		|		|	ethemex	|		|	reserved1 6	|	reserved2 6
flocci	|	english_lang 7	|	lang 7	|	lang_english 7	|		|		|		|		|		|		|		|		|	",,,,,,,,,,,,,,,,,,,ethemex"	|		|	reserved1 7	|	reserved2 7
marc	|	english_lang 8	|	lang 8	|	lang_english 8	|		|		|		|		|		|		|		|		|		|	",,,,,lthemex"	|	reserved1 8	|	reserved2 8
par?	|	english_lang 9	|	lang 9	|	lang_english 9	|		|		|		|		|		|		|		|		|		|	lthemex	|	reserved1 9	|	reserved2 9
junto	|	english_lang 10	|	lang 10	|	lang_english 10	|		|		|		|		|		|		|		|		|		|	",,,,,lthemex"	|	reserved1 10	|	reserved2 10
butch	|	english_lang 11	|	lang 11	|	lang_english 11	|		|		|		|		|		|		|		|		|	",,,,,etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 11	|	reserved2 11
casper	|	english_lang 12	|	lang 12	|	lang_english 12	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4,,,,,"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 12	|	reserved2 12
jacket	|	english_lang 13	|	lang 13	|	lang_english 13	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 13	|	reserved2 13
glenis	|	english_lang 14	|	lang 14	|	lang_english 14	|		|		|		|		|		|		|		|		|		|		|	reserved1 14	|	reserved2 14
gonk	|	english_lang 15	|	lang 15	|	lang_english 15	|		|		|		|		|		|		|		|		|		|		|	reserved1 15	|	reserved2 15
ilium	|	english_lang 16	|	lang 16	|	lang_english 16	|		|		|		|		|		|		|		|		|		|		|	reserved1 16	|	reserved2 16
cobham	|	english_lang 17	|	lang 17	|	lang_english 17	|		|		|		|		|		|		|		|		|		|		|	reserved1 17	|	reserved2 17
eikon	|	english_lang 18	|	lang 18	|	lang_english 18	|		|		|		|		|		|		|		|		|		|		|	reserved1 18	|	reserved2 18
